datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2010:130:17:54:39.328 2010:130:17:54:49.579 12028 AA00000000 TE_0046E NMAN      1         0        5         5         92904  -468      131.59 207.21 26.61  205.84 0.27  -0.91 0.26  0.17 clocking,pcad_mode,power_cmd,simpos             
2010:130:17:54:49.579 2010:130:17:56:38.504 12028 AA00000000 TE_0046E NMAN      1         0        5         5         92904  -468      131.56 207.21 26.61  205.84 0.27  -0.91 0.26  0.17 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:130:17:56:38.504 2010:130:17:57:39.328 12028 AA00000000 TE_0046E NMAN      1         0        5         5         92904  -536      131.56 207.21 26.61  205.84 0.27  -0.91 0.26  0.17 simfa_pos                                       
2010:130:17:57:39.328 2010:130:17:57:43.328 11303 AA00000000 TE_0046E NMAN      1         0        5         5         92904  -536      131.56 207.21 26.61  205.84 0.27  -0.91 0.26  0.17 clocking,obsid,power_cmd                        
2010:130:17:57:43.328 2010:130:17:57:47.328 11303 AA00000000 TE_0046E NMAN      1         0        5         5         92904  -536      131.56 207.21 26.61  205.84 0.27  -0.91 0.26  0.17 clocking,power_cmd                              
2010:130:17:57:47.328 2010:130:17:58:11.328 11303 WSPOW00000 TE_0046E NMAN      1         0        0         0         92904  -536      131.56 207.21 26.61  205.84 0.27  -0.91 0.26  0.17 ccd_count,clocking,fep_count,power_cmd,vid_board
2010:130:17:58:11.328 2010:130:17:59:14.328 11303 WSPOW00F1E TE_0046E NMAN      1         0        4         4         92904  -536      131.56 207.21 26.61  205.84 0.27  -0.91 0.26  0.17 ccd_count,clocking,fep_count,power_cmd,vid_board
2010:130:17:59:14.328 2010:130:17:59:18.328 11303 WSPOW00F1E TE_006E6 NMAN      1         0        4         4         92904  -536      131.56 207.21 26.61  205.84 0.27  -0.91 0.26  0.17 si_mode                                         
2010:130:17:59:18.328 2010:130:18:00:03.431 11303 XTZ0000005 TE_006E6 NMAN      1         1        4         4         92904  -536      131.56 207.21 26.61  205.84 0.27  -0.91 0.26  0.17 clocking,power_cmd                              
2010:130:18:00:03.431 2010:130:18:05:17.284 11303 XTZ0000005 TE_006E6 NMAN      1         1        4         4         92904  -536      132.02 210.92 27.88  200.53 0.30  -0.91 0.23  0.18 dec,pitch,q1,q2,q3,q4,ra,roll                   
