2008133.134321800 | DISA
#*****< WEEKLY LOAD START @ 2009102.185700000 >*****
2009102.215543326 | DISA
2009103.013321464 | ENAB
2009103.083754711 | DISA
2009105.090726021 | ENAB
2009105.132543326 | DISA
2009105.160100030 | ENAB
2009105.231356232 | DISA
2009106.185544021 | ENAB
2009107.115628115 | DISA
2009108.003609181 | ENAB
2009108.153603775 | DISA
#*****< WEEKLY LOAD START @ 2009110.012546721 >*****
2009110.012900047 | ENAB
2009111.065458546 | DISA
2009112.215312319 | ENAB
2009113.214451153 | DISA
2009115.230016447 | ENAB
2009116.140508320 | DISA
#*****< WEEKLY LOAD START @ 2009116.214407121 >*****
2009116.214720447 | ENAB
2009117.010928742 | DISA
2009118.145725770 | ENAB
2009119.050715664 | DISA
2009119.124449517 | ENAB
2009120.162251838 | DISA
2009123.212400113 | ENAB
#*****< WEEKLY LOAD START @ 2009123.225700000 >*****
2009124.101043326 | DISA
2009124.204235587 | ENAB
2009126.162443326 | DISA
2009127.083825991 | ENAB
2009127.153902166 | DISA
2009129.051442496 | ENAB
2009129.184108090 | DISA
2009130.012546496 | ENAB
2009130.133317561 | DISA
2009131.201952092 | ENAB
#*****< WEEKLY LOAD START @ 2009131.213700000 >*****
2009132.104855167 | DISA
2009134.085430003 | ENAB
2009134.122644039 | DISA
2009135.005531495 | ENAB
2009137.041303525 | DISA
#*****< WEEKLY LOAD START @ 2009137.045700000 >*****
2009137.050013326 | ENAB
2009139.203233588 | DISA
2009140.040146093 | ENAB
2009142.052840666 | DISA
2009143.041821702 | ENAB
2009144.120934478 | DISA
2009144.211722576 | ENAB
2009145.002332003 | DISA
2009145.020217872 | ENAB
#*****< WEEKLY LOAD START @ 2009145.034500000 >*****
2009145.053543326 | DISA
2009145.201409309 | ENAB
2009147.064504047 | DISA
2009147.170131383 | ENAB
2009148.073233441 | DISA
2009149.044721578 | ENAB
2009149.145230174 | DISA
2009149.174340174 | ENAB
2009150.092118872 | DISA
2009151.054502208 | ENAB
2009153.005657998 | DISA
#*****< WEEKLY LOAD START @ 2009153.014200000 >*****
2009153.133438281 | ENAB
2009154.101036864 | DISA
2009154.191842864 | ENAB
2009155.004058307 | DISA
2009155.152317612 | ENAB
2009155.194643326 | DISA
2009155.211613326 | ENAB
2009156.234633986 | DISA
2009157.044548059 | ENAB
2009157.204500427 | DISA
2009158.040730426 | ENAB
2009158.074836114 | DISA
#*****< WEEKLY LOAD START @ 2009158.083700000 >*****
2009159.021037829 | ENAB
2009160.224239151 | DISA
2009160.224709151 | ENAB
2009161.024443326 | DISA
2009161.042112326 | ENAB
2009161.123632585 | DISA
2009161.210447151 | ENAB
2009162.005855702 | DISA
2009163.135115754 | ENAB
2009163.175943326 | DISA
2009163.195312326 | ENAB
2009164.040658348 | DISA
2009165.074631046 | ENAB
#*****< WEEKLY LOAD START @ 2009165.110000000 >*****
2009165.112406840 | DISA
2009165.121124303 | ENAB
2009166.095143326 | DISA
2009166.112418355 | ENAB
2009166.131552898 | DISA
2009168.180738997 | ENAB
2009169.012443326 | DISA
2009169.030213217 | ENAB
2009169.112655907 | DISA
2009170.232830095 | ENAB
2009171.165643326 | DISA
2009171.182112109 | ENAB
2009171.192135784 | DISA
#*****< WEEKLY LOAD START @ 2009172.172031370 >*****
2009173.130112594 | ENAB
2009174.083015720 | DISA
2009176.193514905 | ENAB
2009177.000617453 | DISA
2009177.012007453 | ENAB
2009177.093103115 | DISA
2009178.045203241 | ENAB
#*****< WEEKLY LOAD START @ 2009179.122501858 >*****
2009179.153943326 | DISA
2009179.165412965 | ENAB
2009180.004438135 | DISA
2009180.093918819 | ENAB
2009181.152047351 | DISA
2009182.022946813 | ENAB
2009182.154125741 | DISA
2009184.163310038 | ENAB
2009185.075556966 | DISA
2009186.082050148 | ENAB
#*****< WEEKLY LOAD START @ 2009186.163407822 >*****
2009186.165712540 | DISA
2009186.182841148 | ENAB
2009187.082401321 | DISA
2009187.203723303 | ENAB
2009187.223938814 | DISA
#*****TOO @ 2009188.205734000 ******
#*****< WEEKLY LOAD START @ 2009188.205433571 >*****
2009189.182032278 | ENAB
2009189.195015340 | DISA
2009189.211948875 | ENAB
2009189.223939445 | DISA
2009190.070145231 | ENAB
2009190.141319570 | DISA
#*****< WEEKLY LOAD START @ 2009191.065753662 >*****
2009191.131714229 | ENAB
2009191.183805616 | DISA
2009194.161535279 | ENAB
2009195.064524971 | DISA
2009195.171840263 | ENAB
2009195.205653183 | DISA
2009195.215132748 | ENAB
2009197.050339210 | DISA
2009197.215827476 | ENAB
2009198.124601911 | DISA
2009199.082550088 | ENAB
2009199.234536147 | DISA
2009200.131424269 | ENAB
#*****< WEEKLY LOAD START @ 2009200.155700000 >*****
2009201.041543326 | DISA
2009201.155628944 | ENAB
2009203.191413312 | DISA
2009204.112339482 | ENAB
2009205.081134764 | DISA
2009206.054245604 | ENAB
2009206.111554004 | DISA
2009207.013503409 | ENAB
2009208.021812541 | DISA
2009208.113553194 | ENAB
#*****< WEEKLY LOAD START @ 2009208.141700000 >*****
2009209.005438045 | DISA
2009209.145735449 | ENAB
2009210.150558256 | DISA
2009212.051629363 | ENAB
2009212.184305165 | DISA
